paper_id,year,coverage_origin,modality,task,protocol_generalization,participant_generalization,gap_or_relevance_to_current_epgspeller_manuscript,sources_count
benster2024_mona_llm_enhanced_ssr,2024,added_in_v2_2026-06-27_web_supplement,Multimodal Orofacial Neural Audio (MONA); cross-modal silent speech recognition using noninvasive orofacial signals and audio-only data alignment.,Silent speech recognition with cross-modal training and LLM-enhanced recognition.,"Important for cross-modal transfer framing: audio-only data can support silent recognition, but protocol constraints differ from EPGSpeller.",Participant generalization should be read from the paper; v2 uses this for cross-modal and LLM-assisted framing.,Supports adding language about future LM-assisted decoding while keeping current claims limited to audited lexicon-free/lexicon-projected protocols.,3
carreira_perpinan1998_dimred_epg,1998,seeded_from_frozen_related_work_survey_2026-02-17,Electropalatography (EPG),Unsupervised dimensionality reduction / representation learning for EPG frames,Protocol is paper-specific; v2 report treats it as contextual unless split/metric definitions align with EPGSpeller.,Multi-participant or cross-participant behavior is discussed in the source-specific protocol; exact comparability depends on the paper definition.,"EPG representation/device context. In v2 it supports the manuscript discussion of spatial layout, electrode budget, and device-specific assumptions.",3
chen2022_epg2s,2022,seeded_from_frozen_related_work_survey_2026-02-17,Electropalatography (EPG) + audio (multimodal learning),Articulatory-to-speech generation and speech enhancement using EPG (multimodal),Protocol is paper-specific; v2 report treats it as contextual unless split/metric definitions align with EPGSpeller.,"Not a participant-generalization benchmark; use for modality, method, or representation context.",Seeded from the frozen 2026-02-17 survey; v2 uses this item to preserve the original EPG-centered baseline while adding protocol/audit/transfer lenses for the current manuscript.,3
chugh2026_morsear,2026,added_in_v2_2026-06-27_web_supplement,Earable inertial sensing for covert/silent messaging.,Low-resource covert messaging / silent communication.,Relevant because the title and metadata emphasize generalizable low-resource behavior; protocol is still modality-specific.,Included for generalization framing; exact participant split definitions should be read from the paper.,"Useful background for low-shot and cross-participant framing, without serving as a direct CER comparison.",3
denby2010_silent_speech_interfaces,2010,seeded_from_frozen_related_work_survey_2026-02-17,Survey / overview (multiple SSI modalities),"Silent Speech Interface (SSI) overview: technologies, applications, and challenges",Protocol is paper-specific; v2 report treats it as contextual unless split/metric definitions align with EPGSpeller.,Primarily source-specific; use only as a task anchor unless the paper explicitly reports cross-user/user-independent evaluation.,Seeded from the frozen 2026-02-17 survey; v2 uses this item to preserve the original EPG-centered baseline while adding protocol/audit/transfer lenses for the current manuscript.,3
gilbert2010_magnetic_implants_silent_speech,2010,seeded_from_frozen_related_work_survey_2026-02-17,Magnetic implants + external magnetic sensors (articulator motion sensing),Silent speech recognition (isolated-word recognition for small vocabulary),Closed-vocabulary or constrained protocol; useful as contrast but not directly comparable to EPGSpeller open-character decoding.,Primarily source-specific; use only as a task anchor unless the paper explicitly reports cross-user/user-independent evaluation.,Seeded from the frozen 2026-02-17 survey; v2 uses this item to preserve the original EPG-centered baseline while adding protocol/audit/transfer lenses for the current manuscript.,3
gonzalezlopez2020_ssi_restoration_review,2020,seeded_from_frozen_related_work_survey_2026-02-17,"Survey / review (Silent Speech Interfaces, SSI)",Silent Speech Interfaces for speech restoration (speech reconstruction / communication without audible speech),Protocol is paper-specific; v2 report treats it as contextual unless split/metric definitions align with EPGSpeller.,Multi-participant or cross-participant behavior is discussed in the source-specific protocol; exact comparability depends on the paper definition.,Seeded from the frozen 2026-02-17 survey; v2 uses this item to preserve the original EPG-centered baseline while adding protocol/audit/transfer lenses for the current manuscript.,3
graves2006_ctc,2006,seeded_from_frozen_related_work_survey_2026-02-17,Method paper (sequence learning / speech recognition),Sequence labeling without pre-segmented alignments,Protocol is paper-specific; v2 report treats it as contextual unless split/metric definitions align with EPGSpeller.,"Not a participant-generalization benchmark; use for modality, method, or representation context.",Seeded from the frozen 2026-02-17 survey; v2 uses this item to preserve the original EPG-centered baseline while adding protocol/audit/transfer lenses for the current manuscript.,3
guo2026_cross_modal_meta_generalization_uti,2026,added_in_v2_2026-06-27_web_supplement,Ultrasound tongue images for silent speech recognition.,Silent speech recognition via ultrasound tongue images with cross-modal meta-generalization.,"Highly relevant for transfer/generalization framing, though modality and task differ from EPGSpeller.",Generalization is central at the cross-modal level; participant split details must be read from the paper.,Helps position P3/P3MS results as part of a broader transfer-generalization problem while keeping the evidence EPG-specific.,3
hardcastle1989_state_of_art_epg,1989,seeded_from_frozen_related_work_survey_2026-02-17,Electropalatography (EPG),"State-of-the-art overview of EPG developments (instrumentation, visualization, and analysis)",Protocol is paper-specific; v2 report treats it as contextual unless split/metric definitions align with EPGSpeller.,"Not a participant-generalization benchmark; use for modality, method, or representation context.","EPG representation/device context. In v2 it supports the manuscript discussion of spatial layout, electrode budget, and device-specific assumptions.",3
hardcastle1990_epg_phonetic_research,1990,seeded_from_frozen_related_work_survey_2026-02-17,Electropalatography (EPG),Phonetic research and speech training using EPG (visual feedback),Protocol is paper-specific; v2 report treats it as contextual unless split/metric definitions align with EPGSpeller.,"Not a participant-generalization benchmark; use for modality, method, or representation context.","EPG representation/device context. In v2 it supports the manuscript discussion of spatial layout, electrode budget, and device-specific assumptions.",3
hardcastle1991_epg_data_reduction_coarticulation,1991,seeded_from_frozen_related_work_survey_2026-02-17,Electropalatography (EPG),EPG data reduction / representation methods for analyzing lingual coarticulation,Protocol is paper-specific; v2 report treats it as contextual unless split/metric definitions align with EPGSpeller.,"Not a participant-generalization benchmark; use for modality, method, or representation context.","EPG representation/device context. In v2 it supports the manuscript discussion of spatial layout, electrode budget, and device-specific assumptions.",3
hiraki2025_silentwhisper,2025,added_in_v2_2026-06-27_web_supplement,Inaudible or ultra-low-volume whispered acoustic input for silent speech interaction.,Silent speech interaction using faint whisper input.,Contextual SSI modality comparison; protocol differs from EPG word/instance/cross-participant split families.,User-independent or cross-user status must be read from the paper; v2 does not infer it.,Helps limit deployment/privacy claims to the audited EPG setup and avoid overgeneralizing from other silent-interaction modalities.,3
hueber2010_ultrasound_optical_ssi,2010,seeded_from_frozen_related_work_survey_2026-02-17,Ultrasound tongue imaging + optical lip video (silent speech interface),Silent speech interface: articulatory-to-speech reconstruction,Protocol is paper-specific; v2 report treats it as contextual unless split/metric definitions align with EPGSpeller.,Primarily source-specific; use only as a task anchor unless the paper explicitly reports cross-user/user-independent evaluation.,Seeded from the frozen 2026-02-17 survey; v2 uses this item to preserve the original EPG-centered baseline while adding protocol/audit/transfer lenses for the current manuscript.,3
inoue2025_eeg_emg_heterogeneous_electrodes,2025,added_in_v2_2026-06-27_web_supplement,EEG and EMG biosignals for silent speech decoding.,Silent speech decoding from EEG and EMG.,"Relevant to sensor-layout mismatch and heterogeneous hardware, a close conceptual analogue to EPG electrode-layout transfer issues.",Generalization status should be read from the paper; v2 uses it for heterogeneous sensor configuration framing.,Useful for motivating EPGSpeller’s electrode reduction and layout-aware analyses without claiming cross-modality performance equivalence.,3
lee2021_biosignal_speechrec_review,2021,seeded_from_frozen_related_work_survey_2026-02-17,Survey / review (biosignal-based speech recognition),Speech recognition from biosignals using deep learning (review),Survey or review item; protocol content is taxonomy-level rather than a benchmark result.,Multi-participant or cross-participant behavior is discussed in the source-specific protocol; exact comparability depends on the paper definition.,Seeded from the frozen 2026-02-17 survey; v2 uses this item to preserve the original EPG-centered baseline while adding protocol/audit/transfer lenses for the current manuscript.,3
park2019_specaugment,2019,seeded_from_frozen_related_work_survey_2026-02-17,Method paper (data augmentation for speech recognition features),Data augmentation for end-to-end ASR,Protocol is paper-specific; v2 report treats it as contextual unless split/metric definitions align with EPGSpeller.,"Not a participant-generalization benchmark; use for modality, method, or representation context.",Seeded from the frozen 2026-02-17 survey; v2 uses this item to preserve the original EPG-centered baseline while adding protocol/audit/transfer lenses for the current manuscript.,4
rehearsse_chi2024,2024,seeded_from_frozen_related_work_survey_2026-02-17,Ultrasonic ear-canal sensing (earbud-based SSI),Silent spelling / silently spelled word recognition,Includes or motivates compositional/open-vocabulary or held-out-word evaluation; still not directly leaderboard-comparable without matched splits and metrics.,Primarily source-specific; use only as a task anchor unless the paper explicitly reports cross-user/user-independent evaluation.,Open-vocabulary non-EPG silent spelling anchor. In v2 it sharpens the distinction between task similarity and protocol comparability.,3
