dataset_id,view,label,count
john_2328,excluded,A,3
john_2328,excluded,ABANDONED,2
john_2328,excluded,ABOARD,3
john_2328,excluded,ABOUT,3
john_2328,excluded,ACCEPT,2
john_2328,excluded,ACCEPTANCE,2
john_2328,excluded,ACCIDENT,2
john_2328,excluded,ACCOMPANIED,2
john_2328,excluded,ACCORDING,2
john_2328,excluded,ACCOUNT,3
john_2328,excluded,ACUTELY,3
john_2328,excluded,ADDITION,3
john_2328,excluded,ADULT,3
john_2328,excluded,ADVANCE,2
john_2328,excluded,AFRAID,2
john_2328,excluded,AFTER,3
john_2328,excluded,AGAIN,4
john_2328,excluded,AGES,2
john_2328,excluded,AGREE,2
john_2328,excluded,AGREEMENT,2
john_2328,excluded,AHEAD,2
john_2328,excluded,AIRPORT,3
john_2328,excluded,ALGORITHM,2
john_2328,excluded,ALL,3
john_2328,excluded,ALLERGIC,3
john_2328,excluded,ALLIGATOR,2
john_2328,excluded,ALLOTTED,2
john_2328,excluded,ALMOST,2
john_2328,excluded,ALWAYS,3
john_2328,excluded,AM,4
john_2328,excluded,AMAZING,3
john_2328,excluded,AMOUNT,4
john_2328,excluded,AN,4
john_2328,excluded,AND,2
john_2328,excluded,ANIMAL,2
john_2328,excluded,ANNIVERSARY,2
john_2328,excluded,ANNOUNCE,2
john_2328,excluded,ANSWERED,3
john_2328,excluded,ANY,2
john_2328,excluded,ANYMORE,2
john_2328,excluded,ANYTHING,3
john_2328,excluded,APARTMENTS,2
john_2328,excluded,APPEARS,2
john_2328,excluded,APPLE,2
john_2328,excluded,APPOINTMENT,2
john_2328,excluded,ARE,2
john_2328,excluded,ARGUING,2
john_2328,excluded,AROUND,2
john_2328,excluded,AS,3
john_2328,excluded,ASK,3
john_2328,excluded,ASKED,2
john_2328,excluded,ASPIRATIONS,2
john_2328,excluded,ASSAULT,2
john_2328,excluded,ASSIGNMENT,2
john_2328,excluded,ASTONISHMENT,2
john_2328,excluded,AT,2
john_2328,excluded,ATE,5
john_2328,excluded,ATHLETES,2
john_2328,excluded,AVOIDED,3
john_2328,excluded,AWARE,2
john_2328,excluded,AWAY,3
john_2328,excluded,BACK,2
john_2328,excluded,BAD,4
john_2328,excluded,BAKING,2
john_2328,excluded,BALANCE,4
john_2328,excluded,BALL,2
john_2328,excluded,BALONEY,2
john_2328,excluded,BANK,3
john_2328,excluded,BARE,2
john_2328,excluded,BAROQUE,2
john_2328,excluded,BARRACKS,3
john_2328,excluded,BASES,2
john_2328,excluded,BATH,2
john_2328,excluded,BATHROOM,4
john_2328,excluded,BATMAN,3
john_2328,excluded,BATTLES,2
john_2328,excluded,BE,3
john_2328,excluded,BEARS,2
john_2328,excluded,BEAUTIFUL,3
john_2328,excluded,BEEN,2
john_2328,excluded,BEER,3
john_2328,excluded,BEES,3
john_2328,excluded,BEFORE,2
john_2328,excluded,BEGINNING,2
john_2328,excluded,BEHIND,3
john_2328,excluded,BELIEVE,4
john_2328,excluded,BENIGN,3
john_2328,excluded,BEST,2
john_2328,excluded,BETTER,3
john_2328,excluded,BETWEEN,2
john_2328,excluded,BEWARE,2
john_2328,excluded,BIG,3
john_2328,excluded,BIGGEST,4
john_2328,excluded,BIKE,2
john_2328,excluded,BILL,4
john_2328,excluded,BILLS,2
john_2328,excluded,BIRD,3
john_2328,excluded,BIRTH,2
john_2328,excluded,BIRTHDAY,3
john_2328,excluded,BITE,3
john_2328,excluded,BITES,2
john_2328,excluded,BLAST,2
john_2328,excluded,BLAZED,2
john_2328,excluded,BLAZING,4
john_2328,excluded,BLOCKED,2
john_2328,excluded,BLOODSHED,6
john_2328,excluded,BLOW,3
john_2328,excluded,BLUES,2
john_2328,excluded,BONE,2
john_2328,excluded,BOOKS,2
john_2328,excluded,BORING,2
john_2328,excluded,BORROWER,2
john_2328,excluded,BOSS,4
john_2328,excluded,BOYS,2
john_2328,excluded,BREAK,3
john_2328,excluded,BREAKS,2
john_2328,excluded,BREATHING,4
john_2328,excluded,BRING,2
john_2328,excluded,BROKE,2
john_2328,excluded,BROKEN,2
john_2328,excluded,BROWN,2
john_2328,excluded,BROWSER,2
john_2328,excluded,BUCKLE,2
john_2328,excluded,BULLET,2
john_2328,excluded,BURGLARS,2
john_2328,excluded,BURIED,2
john_2328,excluded,BUS,2
john_2328,excluded,BUSINESS,2
john_2328,excluded,BUSY,2
john_2328,excluded,BUT,2
john_2328,excluded,BY,3
john_2328,excluded,BYPASS,2
john_2328,excluded,CAKE,3
john_2328,excluded,CALL,2
john_2328,excluded,CALLED,2
john_2328,excluded,CAMERA,2
john_2328,excluded,CAMPING,2
john_2328,excluded,CAN,2
john_2328,excluded,CANADA,2
john_2328,excluded,CANCER,2
john_2328,excluded,CANNOT,2
john_2328,excluded,CAPE,2
john_2328,excluded,CAPITAL,3
john_2328,excluded,CAPITALIST,2
john_2328,excluded,CAR,2
john_2328,excluded,CARD,2
john_2328,excluded,CARDS,2
john_2328,excluded,CARE,2
john_2328,excluded,CARELESS,2
john_2328,excluded,CARES,2
john_2328,excluded,CARPET,3
john_2328,excluded,CARS,2
john_2328,excluded,CAT,2
john_2328,excluded,CELLS,3
john_2328,excluded,CENTURY,2
john_2328,excluded,CHALLENGED,3
john_2328,excluded,CHAMBER,2
john_2328,excluded,CHANCELLOR,2
john_2328,excluded,CHANGED,2
john_2328,excluded,CHECKS,2
john_2328,excluded,CHEESE,3
john_2328,excluded,CHEMICAL,2
john_2328,excluded,CHEMISTRY,2
john_2328,excluded,CHEVY,2
john_2328,excluded,CHILD,2
john_2328,excluded,CHILDREN,2
john_2328,excluded,CHILLS,4
john_2328,excluded,CHLORINE,3
john_2328,excluded,CHOCOLATE,2
john_2328,excluded,CIRCUMSTANCES,2
john_2328,excluded,CITY,2
john_2328,excluded,CLASSICAL,4
john_2328,excluded,CLAUS,2
john_2328,excluded,CLOSE,3
john_2328,excluded,CLOSED,2
john_2328,excluded,COALITION,3
john_2328,excluded,COFFEE,3
john_2328,excluded,COLD,2
john_2328,excluded,COLLAPSE,2
john_2328,excluded,COME,2
john_2328,excluded,COMING,2
john_2328,excluded,COMMENT,2
john_2328,excluded,COMMITTED,4
john_2328,excluded,COMMUNICATE,2
john_2328,excluded,COMPANIES,3
john_2328,excluded,COMPLAINTS,2
john_2328,excluded,COMPLETE,3
john_2328,excluded,COMPLETELY,2
john_2328,excluded,COMPLICATED,4
john_2328,excluded,CONCENTRATE,2
john_2328,excluded,CONFERENCES,2
john_2328,excluded,CONFIDENTIAL,3
john_2328,excluded,CONNECTED,2
john_2328,excluded,CONSCIENCE,2
john_2328,excluded,CONSEQUENCES,2
john_2328,excluded,CONSIDERATION,3
john_2328,excluded,CONSTRUCTION,2
john_2328,excluded,CONTEST,2
john_2328,excluded,CONTRAST,2
john_2328,excluded,COOKIES,3
john_2328,excluded,COOLED,5
john_2328,excluded,CORONATION,2
john_2328,excluded,CORRECT,3
john_2328,excluded,CORRECTION,2
john_2328,excluded,COTTAGE,2
john_2328,excluded,COTTON,2
john_2328,excluded,COUNTRY,2
john_2328,excluded,COUPON,2
john_2328,excluded,COURSE,2
john_2328,excluded,COURT,2
john_2328,excluded,COURTS,2
john_2328,excluded,COVER,3
john_2328,excluded,CREAM,3
john_2328,excluded,CRIME,2
john_2328,excluded,CROWDED,2
john_2328,excluded,CROWN,4
john_2328,excluded,CUPS,2
john_2328,excluded,CURVE,2
john_2328,excluded,CUSTODY,3
john_2328,excluded,CUT,2
john_2328,excluded,DAILY,3
john_2328,excluded,DARING,2
john_2328,excluded,DASHING,4
john_2328,excluded,DATE,4
john_2328,excluded,DAUGHTERS,2
john_2328,excluded,DAY,2
john_2328,excluded,DECISION,5
john_2328,excluded,DECISIONS,3
john_2328,excluded,DEED,2
john_2328,excluded,DELIVERY,3
john_2328,excluded,DENIAL,2
john_2328,excluded,DEPARTMENT,4
john_2328,excluded,DEPOT,3
john_2328,excluded,DESERVE,2
john_2328,excluded,DESERVES,3
john_2328,excluded,DESIRED,3
john_2328,excluded,DESTRUCTION,3
john_2328,excluded,DETAILS,2
john_2328,excluded,DETECTOR,2
john_2328,excluded,DEWDROP,2
john_2328,excluded,DICTION,2
john_2328,excluded,DID,3
john_2328,excluded,DIFFICULT,3
john_2328,excluded,DINE,2
john_2328,excluded,DINOSAURS,2
john_2328,excluded,DIPLOMACY,2
john_2328,excluded,DIPPED,2
john_2328,excluded,DIRECTION,2
john_2328,excluded,DISASTER,3
john_2328,excluded,DISCHARGED,2
john_2328,excluded,DISCOURAGING,3
john_2328,excluded,DISCOVERING,3
john_2328,excluded,DISCREET,4
john_2328,excluded,DISGUSTING,2
john_2328,excluded,DISTURBANCE,2
john_2328,excluded,DO,4
john_2328,excluded,DOCTOR,2
john_2328,excluded,DOES,2
john_2328,excluded,DOG,2
john_2328,excluded,DOLPHINS,2
john_2328,excluded,DOOR,2
john_2328,excluded,DOORS,3
john_2328,excluded,DORMITORY,2
john_2328,excluded,DOUBLE,2
john_2328,excluded,DOW,2
john_2328,excluded,DOWN,2
john_2328,excluded,DREAM,2
john_2328,excluded,DREAMERS,3
john_2328,excluded,DREAMS,3
john_2328,excluded,DRESS,2
john_2328,excluded,DRINK,2
john_2328,excluded,DRIVE,3
john_2328,excluded,DRIVERS,2
john_2328,excluded,DRIVEWAYS,3
john_2328,excluded,DRIVING,2
john_2328,excluded,DROVE,2
john_2328,excluded,DRUGS,2
john_2328,excluded,DRY,2
john_2328,excluded,DUCK,2
john_2328,excluded,DUE,3
john_2328,excluded,EACH,2
john_2328,excluded,EARLY,3
john_2328,excluded,EARTH,2
john_2328,excluded,EAST,2
john_2328,excluded,EASY,3
john_2328,excluded,EAT,2
john_2328,excluded,ECONOMY,3
john_2328,excluded,EDITION,2
john_2328,excluded,EDUCATION,2
john_2328,excluded,EFFORT,2
john_2328,excluded,EFFORTS,2
john_2328,excluded,EGO,3
john_2328,excluded,EIGHT,2
john_2328,excluded,ELECTIONS,2
john_2328,excluded,ELECTRIC,2
john_2328,excluded,ELECTRICAL,3
john_2328,excluded,ELEPHANTS,2
john_2328,excluded,ELEVATOR,2
john_2328,excluded,ELSE,4
john_2328,excluded,EMAIL,2
john_2328,excluded,EMPIRE,2
john_2328,excluded,EMPLOYEE,3
john_2328,excluded,ENCOURAGEMENT,2
john_2328,excluded,END,3
john_2328,excluded,ENGINE,2
john_2328,excluded,ENJOY,2
john_2328,excluded,ENLARGED,2
john_2328,excluded,ENOUGH,2
john_2328,excluded,ENTER,3
john_2328,excluded,ENTIRE,2
john_2328,excluded,ENVIRONMENT,3
john_2328,excluded,EQUATION,2
john_2328,excluded,ETIQUETTE,3
john_2328,excluded,EVENING,3
john_2328,excluded,EVENTUALLY,2
john_2328,excluded,EVER,3
john_2328,excluded,EVERY,2
john_2328,excluded,EVERYBODY,2
john_2328,excluded,EVERYDAY,2
john_2328,excluded,EVERYONE,2
john_2328,excluded,EVERYWHERE,2
john_2328,excluded,EXAM,3
john_2328,excluded,EXAMPLE,2
john_2328,excluded,EXASPERATION,4
john_2328,excluded,EXCEED,2
john_2328,excluded,EXCELLENT,4
john_2328,excluded,EXCHANGE,2
john_2328,excluded,EXCITED,3
john_2328,excluded,EXCITING,2
